Delta_X,Delta_Y,U1
2.669267416000366,1.5534743666648865,"[[2.66926742]
 [1.55347437]]"
2.657373070716858,1.5515972673892975,"[[2.65737307]
 [1.55159727]]"
2.65526020526886,1.5461595356464386,"[[2.65526021]
 [1.54615954]]"
2.646692156791687,1.541112869977951,"[[2.64669216]
 [1.54111287]]"
2.647653818130493,1.5349297225475311,"[[2.64765382]
 [1.53492972]]"
2.643203854560852,1.5287171602249146,"[[2.64320385]
 [1.52871716]]"
2.647101044654846,1.5217461585998535,"[[2.64710104]
 [1.52174616]]"
2.647338390350342,1.516035944223404,"[[2.64733839]
 [1.51603594]]"
2.6522098779678345,1.5070984661579132,"[[2.65220988]
 [1.50709847]]"
2.656627655029297,1.5025185942649841,"[[2.65662766]
 [1.50251859]]"
2.6616406440734863,1.492697298526764,"[[2.66164064]
 [1.4926973 ]]"
2.66926372051239,1.4883080124855042,"[[2.66926372]
 [1.48830801]]"
2.673080086708069,1.4773297905921936,"[[2.67308009]
 [1.47732979]]"
2.683208465576172,1.4724669456481934,"[[2.68320847]
 [1.47246695]]"
2.684615969657898,1.4607768058776855,"[[2.68461597]
 [1.46077681]]"
2.695769190788269,1.4545446038246155,"[[2.69576919]
 [1.4545446 ]]"
2.694439172744751,1.4433236122131348,"[[2.69443917]
 [1.44332361]]"
2.7051010131835938,1.434696614742279,"[[2.70510101]
 [1.43469661]]"
2.701141834259033,1.4248772263526917,"[[2.70114183]
 [1.42487723]]"
2.7101218700408936,1.4141508638858795,"[[2.71012187]
 [1.41415086]]"
2.704703688621521,1.4070421755313873,"[[2.70470369]
 [1.40704218]]"
2.7101402282714844,1.3939935863018036,"[[2.71014023]
 [1.39399359]]"
2.7038949728012085,1.3899697363376617,"[[2.70389497]
 [1.38996974]]"
2.7047948837280273,1.3756267130374908,"[[2.70479488]
 [1.37562671]]"
2.698728084564209,1.3749612271785736,"[[2.69872808]
 [1.37496123]]"
2.6954004764556885,1.361565500497818,"[[2.69540048]
 [1.3615655 ]]"
2.689796209335327,1.3642721474170685,"[[2.68979621]
 [1.36427215]]"
2.682708740234375,1.3537327349185944,"[[2.68270874]
 [1.35373273]]"
2.678056836128235,1.3591206967830658,"[[2.67805684]
 [1.3591207 ]]"
2.6697789430618286,1.3523675799369812,"[[2.66977894]
 [1.35236758]]"
2.665061354637146,1.3597315549850464,"[[2.66506135]
 [1.35973155]]"
2.6567302942276,1.3574735820293427,"[[2.65673029]
 [1.35747358]]"
2.651615619659424,1.3657518923282623,"[[2.65161562]
 [1.36575189]]"
2.645424723625183,1.3668406307697296,"[[2.64542472]
 [1.36684063]]"
2.6390581130981445,1.3752671778202057,"[[2.63905811]
 [1.37526718]]"
2.6357322931289673,1.3800216019153595,"[[2.63573229]
 [1.3800216 ]]"
2.6279081106185913,1.3874858915805817,"[[2.62790811]
 [1.38748589]]"
2.627498149871826,1.3945346474647522,"[[2.62749815]
 [1.39453465]]"
2.6184592247009277,1.4001968502998352,"[[2.61845922]
 [1.40019685]]"
2.6201831102371216,1.4095688462257385,"[[2.62018311]
 [1.40956885]]"
2.6106144189834595,1.412390410900116,"[[2.61061442]
 [1.41239041]]"
2.611927032470703,1.4238952696323395,"[[2.61192703]
 [1.42389527]]"
2.6032354831695557,1.4244453012943268,"[[2.60323548]
 [1.4244453 ]]"
2.603271007537842,1.437333881855011,"[[2.60327101]
 [1.43733388]]"
2.596120834350586,1.4352932572364807,"[[2.59612083]
 [1.43529326]]"
2.593743920326233,1.448752224445343,"[[2.59374392]
 [1.44875222]]"
2.588807463645935,1.4447513222694397,"[[2.58880746]
 [1.44475132]]"
2.582992672920227,1.4573915004730225,"[[2.58299267]
 [1.4573915 ]]"
2.580569624900818,1.4520987272262573,"[[2.58056962]
 [1.45209873]]"
2.571487307548523,1.4622545838356018,"[[2.57148731]
 [1.46225458]]"
2.571629762649536,1.4558915495872498,"[[2.57162976]
 [1.45589155]]"
2.560194253921509,1.4625748693943024,"[[2.56019425]
 [1.46257487]]"
2.562060832977295,1.4551710188388824,"[[2.56206083]
 [1.45517102]]"
2.5496954917907715,1.4580886363983154,"[[2.54969549]
 [1.45808864]]"
2.5522260665893555,1.4493836164474487,"[[2.55222607]
 [1.44938362]]"
2.541202664375305,1.4481108486652374,"[[2.54120266]
 [1.44811085]]"
2.543807625770569,1.4390783607959747,"[[2.54380763]
 [1.43907836]]"
2.535583972930908,1.4350512325763702,"[[2.53558397]
 [1.43505123]]"
2.536962151527405,1.4251025021076202,"[[2.53696215]
 [1.4251025 ]]"
2.532296657562256,1.4195443987846375,"[[2.53229666]
 [1.4195444 ]]"
2.531823992729187,1.4093831181526184,"[[2.53182399]
 [1.40938312]]"
2.531518816947937,1.4037874639034271,"[[2.53151882]
 [1.40378746]]"
2.529030203819275,1.3945171535015106,"[[2.5290302 ]
 [1.39451715]]"
2.5327008962631226,1.389589011669159,"[[2.5327009 ]
 [1.38958901]]"
2.528450846672058,1.3819672465324402,"[[2.52845085]
 [1.38196725]]"
2.535142421722412,1.377444088459015,"[[2.53514242]
 [1.37744409]]"
2.5300636291503906,1.372051477432251,"[[2.53006363]
 [1.37205148]]"
2.5388063192367554,1.3668179214000702,"[[2.53880632]
 [1.36681792]]"
2.533052444458008,1.3639468848705292,"[[2.53305244]
 [1.36394688]]"
2.5425862073898315,1.3567557334899902,"[[2.54258621]
 [1.35675573]]"
2.5367876291275024,1.356694757938385,"[[2.53678763]
 [1.35669476]]"
2.546130895614624,1.3479942679405212,"[[2.5461309 ]
 [1.34799427]]"
2.54049015045166,1.3502181768417358,"[[2.54049015]
 [1.35021818]]"
2.5481470823287964,1.339752584695816,"[[2.54814708]
 [1.33975258]]"
2.5426416397094727,1.3438856899738312,"[[2.54264164]
 [1.34388569]]"
2.547334671020508,1.3312443494796753,"[[2.54733467]
 [1.33124435]]"
2.5419267416000366,1.3368695974349976,"[[2.54192674]
 [1.3368696 ]]"
2.5429893732070923,1.3240225613117218,"[[2.54298937]
 [1.32402256]]"
2.5370426177978516,1.3300351202487946,"[[2.53704262]
 [1.33003512]]"
2.5341039896011353,1.3177984952926636,"[[2.53410399]
 [1.3177985 ]]"
2.527213215827942,1.323632001876831,"[[2.52721322]
 [1.323632  ]]"
2.5211914777755737,1.3138343393802643,"[[2.52119148]
 [1.31383434]]"
2.5133979320526123,1.3187097012996674,"[[2.51339793]
 [1.3187097 ]]"
2.506229519844055,1.3120798766613007,"[[2.50622952]
 [1.31207988]]"
2.4978954792022705,1.315354734659195,"[[2.49789548]
 [1.31535473]]"
2.490572452545166,1.3128048777580261,"[[2.49057245]
 [1.31280488]]"
2.482508659362793,1.3139087557792664,"[[2.48250866]
 [1.31390876]]"
2.477081775665283,1.3145276010036469,"[[2.47708178]
 [1.3145276 ]]"
2.469925045967102,1.3141968548297882,"[[2.46992505]
 [1.31419685]]"
2.46609628200531,1.318072646856308,"[[2.46609628]
 [1.31807265]]"
2.4604398012161255,1.3157661855220795,"[[2.4604398 ]
 [1.31576619]]"
2.4586671590805054,1.3222216963768005,"[[2.45866716]
 [1.3222217 ]]"
2.4546875953674316,1.3182478547096252,"[[2.4546876 ]
 [1.31824785]]"
2.454373359680176,1.3268266916275024,"[[2.45437336]
 [1.32682669]]"
2.452112317085266,1.321877121925354,"[[2.45211232]
 [1.32187712]]"
2.451790452003479,1.332258015871048,"[[2.45179045]
 [1.33225802]]"
2.4515665769577026,1.3260691463947296,"[[2.45156658]
 [1.32606915]]"
2.450243592262268,1.3375254571437836,"[[2.45024359]
 [1.33752546]]"
2.450573205947876,1.3302666246891022,"[[2.45057321]
 [1.33026662]]"
2.4471830129623413,1.342043161392212,"[[2.44718301]
 [1.34204316]]"
2.447995901107788,1.3342716097831726,"[[2.4479959 ]
 [1.33427161]]"
2.4421470165252686,1.3452357649803162,"[[2.44214702]
 [1.34523576]]"
2.4428080320358276,1.3370128870010376,"[[2.44280803]
 [1.33701289]]"
2.4341858625411987,1.3459599614143372,"[[2.43418586]
 [1.34595996]]"
2.433608889579773,1.337312400341034,"[[2.43360889]
 [1.3373124 ]]"
2.4231224060058594,1.3431422114372253,"[[2.42312241]
 [1.34314221]]"
