
Data_X,Data_Y,U_LX,U_LY,VL,VR
1.8981038862557844,-1.6044706014015588,1.8981038862557844,-1.6044706014015588,2.7003391869565636,1.095868585555005
1.8959722529211795,-1.6061894788100821,1.8959722529211795,-1.6061894788100821,2.6990669923262205,1.0928775135161386
1.9071351094794582,-1.5875890777320691,1.9071351094794582,-1.5875890777320691,2.7009296483454928,1.1133405706134236
1.9271494977614252,-1.5524374152947675,1.9271494977614252,-1.5524374152947675,2.703368205408809,1.1509307901140415
1.969479950716621,-1.4901289425122486,1.969479950716621,-1.4901289425122486,2.7145444219727453,1.2244154794604967
1.9847321150292327,-1.4505963250844935,1.9847321150292327,-1.4505963250844935,2.7100302775714793,1.259433952486986
2.0014959657161913,-1.4152319341293857,2.0014959657161913,-1.4152319341293857,2.709111932780884,1.2938799986514984
2.016927598722625,-1.3807635603767794,2.016927598722625,-1.3807635603767794,2.707309378911015,1.3265458185342354
2.032761734613568,-1.344665387571586,2.032761734613568,-1.344665387571586,2.705094428399361,1.360429040827775
2.0460293338313025,-1.3110715544874734,2.0460293338313025,-1.3110715544874734,2.7015651110750394,1.3904935565875658
2.075854798484487,-1.2519518601007567,2.075854798484487,-1.2519518601007567,2.7018307285348655,1.4498788684341086
2.0816184181737074,-1.2105877644400738,2.0816184181737074,-1.2105877644400738,2.686912300393744,1.4763245359536705
2.08881679416882,-1.1741024672026001,2.08881679416882,-1.1741024672026001,2.67586802777012,1.50176556056752
2.0979171357011155,-1.1420123919518923,2.0979171357011155,-1.1420123919518923,2.6689233316770617,1.5269109397251692
2.1061444190002554,-1.1104795390545403,2.1061444190002554,-1.1104795390545403,2.6613841885275256,1.5509046494729852
2.1267642686619204,-1.0556878463674384,2.1267642686619204,-1.0556878463674384,2.6546081918456395,1.5989203454782013
2.128731233136488,-1.0237057253138757,2.128731233136488,-1.0237057253138757,2.640584095793426,1.6168783704795502
2.133560360415758,-0.9949850398091987,2.133560360415758,-0.9949850398091987,2.631052880320357,1.6360678405111584
2.1381238450211995,-0.9660624668064535,2.1381238450211995,-0.9660624668064535,2.621155078424426,1.6550926116179727
2.1409978497403714,-0.939563091850509,2.1409978497403714,-0.939563091850509,2.610779395665626,1.6712163038151169
2.143403556580913,-0.9135356739530911,2.143403556580913,-0.9135356739530911,2.6001713935574586,1.6866357196043675
2.145462350006053,-0.887553808745998,2.145462350006053,-0.887553808745998,2.5892392543790517,1.701685445633054
2.146921510722163,-0.8623657526518524,2.146921510722163,-0.8623657526518524,2.5781043870480893,1.7157386343962369
