
Data_X,Data_Y,Label_X,Label_Y
-0.6766377687454224,-0.3562003895640373,[-0.67663777],[-0.35620039]
-0.6751851439476013,-0.3554329201579094,[-0.67518514],[-0.35543292]
-0.6738045811653137,-0.35470259189605713,[-0.67380458],[-0.35470259]
-0.6724198758602142,-0.35397058725357056,[-0.67241988],[-0.35397059]
-0.6710487902164459,-0.35324588418006897,[-0.67104879],[-0.35324588]
-0.6696794629096985,-0.3525179922580719,[-0.66967946],[-0.35251799]
-0.6683108508586884,-0.35179247707128525,[-0.66831085],[-0.35179248]
-0.666944831609726,-0.3510736748576164,[-0.66694483],[-0.35107367]
-0.6655842959880829,-0.350357249379158,[-0.6655843],[-0.35035725]
-0.6642198860645294,-0.34973566234111786,[-0.66421989],[-0.34973566]
-0.6629414260387421,-0.34903382509946823,[-0.66294143],[-0.34903383]
-0.6615136861801147,-0.34828465431928635,[-0.66151369],[-0.34828465]
-0.6601681113243103,-0.3475438505411148,[-0.66016811],[-0.34754385]
-0.6588126420974731,-0.3468252271413803,[-0.65881264],[-0.34682523]
-0.6574513018131256,-0.3461122065782547,[-0.6574513],[-0.34611221]
-0.6561108827590942,-0.3454021066427231,[-0.65611088],[-0.34540211]
-0.6547676622867584,-0.3446901887655258,[-0.65476766],[-0.34469019]
-0.6534334123134613,-0.3439866751432419,[-0.65343341],[-0.34398668]
-0.6521010100841522,-0.3432805612683296,[-0.65210101],[-0.34328056]
-0.6508018672466278,-0.3426312580704689,[-0.65080187],[-0.34263126]
-0.6494759619235992,-0.3419264405965805,[-0.64947596],[-0.34192644]
-0.64802286028862,-0.34121762216091156,[-0.64802286],[-0.34121762]
-0.6467000544071198,-0.34051837027072906,[-0.64670005],[-0.34051837]
-0.6453677415847778,-0.3398101478815079,[-0.64536774],[-0.33981015]
-0.6440527141094208,-0.33910874277353287,[-0.64405271],[-0.33910874]
-0.64274001121521,-0.3384171798825264,[-0.64274001],[-0.33841718]
-0.6414315104484558,-0.337724894285202,[-0.64143151],[-0.33772489]
-0.6401262581348419,-0.33703479170799255,[-0.64012626],[-0.33703479]
-0.6388204991817474,-0.33634664863348007,[-0.6388205],[-0.33634665]
-0.6375765800476074,-0.33567123860120773,[-0.63757658],[-0.33567124]
-0.6362735331058502,-0.3349861204624176,[-0.63627353],[-0.33498612]
-0.6349236071109772,-0.33427324891090393,[-0.63492361],[-0.33427325]
-0.6337004005908966,-0.333628311753273,[-0.6337004],[-0.33362831]
-0.6324005126953125,-0.33294104039669037,[-0.63240051],[-0.33294104]
-0.6310304403305054,-0.33221840113401413,[-0.63103044],[-0.3322184]
-0.6297449767589569,-0.3315366134047508,[-0.62974498],[-0.33153661]
-0.6284515857696533,-0.3308541774749756,[-0.62845159],[-0.33085418]
-0.6271702647209167,-0.3301764130592346,[-0.62717026],[-0.33017641]
-0.625889241695404,-0.3294973447918892,[-0.62588924],[-0.32949734]
-0.6246117353439331,-0.32882217317819595,[-0.62461174],[-0.32882217]
-0.6233387589454651,-0.3281462788581848,[-0.62333876],[-0.32814628]
-0.6221322417259216,-0.32749679684638977,[-0.62213224],[-0.3274968]
-0.6208609640598297,-0.32682305574417114,[-0.62086096],[-0.32682306]
-0.6195367276668549,-0.3261265158653259,[-0.61953673],[-0.32612652]
-0.6183445453643799,-0.32551296800374985,[-0.61834455],[-0.32551297]
-0.6170793771743774,-0.3248484954237938,[-0.61707938],[-0.3248485]
-0.6157612502574921,-0.32415222004055977,[-0.61576125],[-0.32415222]
-0.6145051419734955,-0.3234878368675709,[-0.61450514],[-0.32348784]
-0.6132408082485199,-0.3228241577744484,[-0.61324081],[-0.32282416]
-0.611989438533783,-0.3221674934029579,[-0.61198944],[-0.32216749]
-0.6107459962368011,-0.32151003554463387,[-0.610746],[-0.32151004]
-0.6094552874565125,-0.32094453647732735,[-0.60945529],[-0.32094454]
-0.608208566904068,-0.320282768458128,[-0.60820857],[-0.32028277]
-0.6069186627864838,-0.31960202381014824,[-0.60691866],[-0.31960202]
-0.6056807637214661,-0.3189472630620003,[-0.60568076],[-0.31894726]
-0.60443976521492,-0.31829602271318436,[-0.60443977],[-0.31829602]
-0.6032074093818665,-0.3176451325416565,[-0.60320741],[-0.31764513]
-0.6019780039787292,-0.3169991970062256,[-0.601978],[-0.3169992]
-0.6007455587387085,-0.31634894013404846,[-0.60074556],[-0.31634894]
-0.599519282579422,-0.31570371985435486,[-0.59951928],[-0.31570372]
-0.5983130931854248,-0.3150997832417488,[-0.59831309],[-0.31509978]
-0.5971291363239288,-0.3144936338067055,[-0.59712914],[-0.31449363]
-0.595846563577652,-0.31381967663764954,[-0.59584656],[-0.31381968]
-0.5946008861064911,-0.31316155195236206,[-0.59460089],[-0.31316155]
-0.5933814942836761,-0.31251615285873413,[-0.59338149],[-0.31251615]
-0.5921687483787537,-0.3118741512298584,[-0.59216875],[-0.31187415]
-0.5909664630889893,-0.3112344369292259,[-0.59096646],[-0.31123444]
-0.5897619724273682,-0.31059902161359787,[-0.58976197],[-0.31059902]
-0.588555097579956,-0.30995967239141464,[-0.5885551],[-0.30995967]
-0.5873538851737976,-0.30932333320379257,[-0.58735389],[-0.30932333]
-0.5861535668373108,-0.30868659168481827,[-0.58615357],[-0.30868659]
-0.5849588215351105,-0.30805904418230057,[-0.58495882],[-0.30805904]
-0.5837684571743011,-0.30742598325014114,[-0.58376846],[-0.30742598]
-0.5826418101787567,-0.306813009083271,[-0.58264181],[-0.30681301]
-0.5814530551433563,-0.30618246272206306,[-0.58145306],[-0.30618246]
-0.5802135169506073,-0.30552705004811287,[-0.58021352],[-0.30552705]
-0.5790310800075531,-0.30489853769540787,[-0.57903108],[-0.30489854]
-0.5778423845767975,-0.30427397042512894,[-0.57784238],[-0.30427397]
-0.5766635835170746,-0.3036508373916149,[-0.57666358],[-0.30365084]
-0.5754849910736084,-0.3030283860862255,[-0.57548499],[-0.30302839]
-0.5743104815483093,-0.3024054542183876,[-0.57431048],[-0.30240545]
-0.573140412569046,-0.30178947001695633,[-0.57314041],[-0.30178947]
-0.5719716846942902,-0.30116863176226616,[-0.57197168],[-0.30116863]
-0.5708045959472656,-0.3005542866885662,[-0.5708046],[-0.30055429]
