
M_x,M_y,Phi_x,Phi_y,U_x,U_y
-1.0212669409811497,-0.7777310907840729,2.7454198449850082,-0.8686282336711884,-3.38218180090189,-5.535014778375626
-1.01872194185853,-0.773931473493576,2.7380080074071884,-0.870164543390274,-3.374323643743992,-5.51375338435173
-1.0121881999075413,-0.7635520398616791,2.7349043637514114,-0.8776963949203491,-3.338224835693836,-5.459008634090424
-0.996517226099968,-0.7652179002761841,2.6799022555351257,-0.8589740991592407,-3.299201101064682,-5.450281500816345
-0.9899022877216339,-0.7658748626708984,2.642239958047867,-0.8542048335075378,-3.2971737682819366,-5.4494540095329285
-0.9835097044706345,-0.7666812837123871,2.6034887731075287,-0.8401241898536682,-3.297569453716278,-5.440211892127991
-0.9534276276826859,-0.7289893925189972,2.583357810974121,-0.8525155484676361,-3.137207955121994,-5.226451903581619
-0.9467531079426408,-0.7193548679351807,2.533071432262659,-0.8838456273078918,-3.1474472153931856,-5.199974834918976
-0.933579289354384,-0.698165774345398,2.5063456632196903,-0.8935524225234985,-3.0951300729066133,-5.082547068595886
-0.9271709555760026,-0.6878449320793152,2.5290686674416065,-0.8997521996498108,-3.033957066014409,-5.026821792125702
-0.910267480649054,-0.7005757689476013,2.4877149499952793,-0.8073344528675079,-2.973889933899045,-5.010789066553116
-0.9041060293093324,-0.6905879974365234,2.488821718841791,-0.8065079748630524,-2.935814457014203,-4.950035959482193
-0.897974737919867,-0.6806872487068176,2.447089198976755,-0.8156848847866058,-2.940759228542447,-4.899808377027512
-0.8848707312718034,-0.6879879236221313,2.3991438187658787,-0.7449321001768112,-2.9100805688649416,-4.872859641909599
-0.8617965094745159,-0.6555479764938354,2.3041771203279495,-0.8610007017850876,-2.866601936519146,-4.7942885607481
-0.8585355058312416,-0.6510024070739746,2.2967023700475693,-0.877839207649231,-2.8545106649398804,-4.783853650093079
-0.8407087102532387,-0.6220026016235352,2.286093547940254,-0.8967878222465515,-2.758158713579178,-4.6288034319877625
-0.8348934426903725,-0.6125046610832214,2.277642324566841,-0.892947793006897,-2.7317183315753937,-4.567975759506226
-0.8292796388268471,-0.6033080816268921,2.288425713777542,-0.8957399427890778,-2.6872521191835403,-4.51558843255043
-0.8237340226769447,-0.5942192077636719,2.2375929057598114,-0.8937747329473495,-2.704811230301857,-4.459089979529381
-0.8043249621987343,-0.62421914935112,2.1817066371440887,-0.7406418472528458,-2.644243136048317,-4.485956743359566
-0.798918105661869,-0.6153031289577484,2.182981476187706,-0.7400558739900589,-2.6105271577835083,-4.431874647736549
